2026-05-11
Nouvelle evenement: 00:23:03 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 00:24:17 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 00:24:21 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 00:31:23 manager, Patient sélectionné, Patient avec ID 517 selectionné.
Nouvelle evenement: 00:31:28 manager, Détails des patients, Les détails du patient avec l'identifiant 517 ont été consulté.
Nouvelle evenement: 00:37:13 manager, Détails des patients, Les détails du patient avec l'identifiant 368 ont été consulté.
Nouvelle evenement: 01:03:03 test_admin, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 01:05:41 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 01:14:11 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 01:14:19 Admin Marate, AI report email, Rapport IA envoyé à jonathanjerabe@gmail.com
Nouvelle evenement: 01:14:33 Admin Marate, AI report email, Rapport IA envoyé à jallarassem40@gmail.com
Nouvelle evenement: 01:16:41 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 01:21:23 manager, Patient sélectionné, Patient avec ID 368 selectionné.
Nouvelle evenement: 01:21:43 manager, Patient sélectionné, Patient avec ID 376 selectionné.
Nouvelle evenement: 01:22:21 manager, Facture généré, Facture généré pour le patient Camara Hawa
Nouvelle evenement: 01:26:11 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 01:27:45 Admin Marate, AI report email, Rapport IA envoyé à jonathanjerabe@gmail.com
Nouvelle evenement: 01:29:57 manager, Patient sélectionné, Patient avec ID 368 selectionné.
Nouvelle evenement: 01:30:01 manager, modification patient, Patient avec ID 368 a été modifié
Nouvelle evenement: 01:30:23 manager, Ajout d'un patient, Le patient 'Jonathan Allarassem' a été ajouté
Nouvelle evenement: 01:30:27 manager, Patient sélectionné, Patient avec ID 518 selectionné.
Nouvelle evenement: 01:30:34 manager, modification patient, Patient avec ID 518 a été modifié
Nouvelle evenement: 01:30:36 manager, Patient sélectionné, Patient avec ID 376 selectionné.
Nouvelle evenement: 01:32:47 manager, Détails des patients, Les détails du patient avec l'identifiant 376 ont été consulté.
Nouvelle evenement: 01:32:52 manager, Détails des patients, Les détails du patient avec l'identifiant 376 ont été consulté.
Nouvelle evenement: 01:32:57 manager, Détails des patients, Les détails du patient avec l'identifiant 402 ont été consulté.
Nouvelle evenement: 01:41:52 manager, Facture généré, Facture généré pour le patient Sissoko Souleymane
Nouvelle evenement: 01:42:56 manager, Ajout d'un patient, Le patient 'Maguette Ndiaye' a été ajouté
Nouvelle evenement: 01:44:15 manager, Détails des patients, Les détails du patient avec l'identifiant 519 ont été consulté.
Nouvelle evenement: 01:46:03 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 01:46:05 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 01:47:57 manager, Détails des patients, Les détails du patient avec l'identifiant 16 ont été consulté.
Nouvelle evenement: 01:50:16 manager, Détails des patients, Les détails du patient avec l'identifiant 519 ont été consulté.
Nouvelle evenement: 01:50:23 manager, Patient sélectionné, Patient avec ID 519 selectionné.
Nouvelle evenement: 01:50:33 manager, modification patient, Patient avec ID 519 a été modifié
Nouvelle evenement: 01:50:37 manager, Patient sélectionné, Patient avec ID 519 selectionné.
Nouvelle evenement: 01:57:07 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 01:57:09 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 01:57:40 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 01:57:41 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 02:01:36 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 02:02:22 Admin Marate, AI report email, Rapport IA envoyé à jonathanjerabe@gmail.com
Nouvelle evenement: 02:03:14 manager, Ajout d'un patient, Le patient 'Jonathan Allarassem' a été ajouté
Nouvelle evenement: 02:03:18 manager, Détails des patients, Les détails du patient avec l'identifiant 520 ont été consulté.
Nouvelle evenement: 02:03:47 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 02:07:13 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 02:10:51 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 02:12:17 Admin Marate, AI report email, Rapport IA envoyé à jonathanjerabe@gmail.com
Nouvelle evenement: 02:14:10 manager, Patient sélectionné, Patient avec ID 520 selectionné.
Nouvelle evenement: 02:14:18 manager, modification patient, Patient avec ID 520 a été modifié
Nouvelle evenement: 02:14:29 manager, Patient sélectionné, Patient avec ID 520 selectionné.
Nouvelle evenement: 02:14:37 manager, Patient sélectionné, Patient avec ID 520 selectionné.
Nouvelle evenement: 02:15:30 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 02:16:09 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
Nouvelle evenement: 02:19:28 Admin Marate, AI report, Rapport IA généré pour 2026-05-11
Nouvelle evenement: 02:20:11 Admin Marate, AI report email, Rapport IA envoyé à jonathanjerabe@gmail.com
Nouvelle evenement: 02:22:05 manager, Ajout d'un patient, Le patient 'Michael Allarassem' a été ajouté
Nouvelle evenement: 02:22:10 manager, Détails des patients, Les détails du patient avec l'identifiant 521 ont été consulté.
Nouvelle evenement: 02:22:39 manager, Patient sélectionné, Patient avec ID 521 selectionné.
Nouvelle evenement: 02:24:07 manager, Facture généré, Facture généré pour le patient Allarassem Michael
Nouvelle evenement: 02:24:31 manager, Patient sélectionné, Patient avec ID 521 selectionné.
Nouvelle evenement: 02:25:25 manager, Suppression d'un patient, Le patient avec l'identifiant 521 a été supprimé. Voici les infos du patient supprimé [RealDictRow({'id': 521, 'name': 'Michael Allarassem', 'age': 20, 'date_of_birth': datetime.date(2019, 2, 19), 'poids': 69.0, 'taille': None, 'tension_arterielle': None, 'temperature': None, 'hypothese_de_diagnostique': None, 'bilan': None, 'resultat_bilan': None, 'signature': None, 'ordonnance': None, 'created_at': datetime.datetime(2026, 5, 11, 6, 22, 3, 880819), 'phone_number': None, 'meeting': None, 'new_cases': None, 'age_years': 20, 'age_months': 0, 'age_days': 0, 'test': None, 'clinic_id': 1})]
Nouvelle evenement: 02:26:09 manager, logout, L'utilisateur 'manager' s'est déconnecté
Nouvelle evenement: 09:07:22 Admin Marate, login, L'utilisateur 'Admin Marate' s'est connecté avec succès
